example_id,family,photo_count,dated_rows,word_volume,density_band,has_spotlight,has_event_recap,has_footer_band,dominant_content,notes
example-01,editorial-light,5,0,low,light,no,no,no,staff-spotlights,"staff spotlight trio + UV article; sparse, editorial"
example-02,community-collage,12,0,medium,dense,yes,yes,no,mixed-photo,"Gateway-style collage; birthday+exec+outings"
example-03,photo-mosaic,11,0,medium,dense,yes,yes,no,photo-led,"heavy photo mosaic + right rail"
example-04,editorial-light,4,0,low,light,no,no,yes,narrative,"text-forward, sparse photos"
example-05,dense-lavender-grid,9,0,high,dense,yes,no,yes,mixed,"dense grid, lavender spotlight rail, navy footer"
example-06,community-collage,11,34,medium,dense,no,yes,yes,mixed-photo,"birthday+exec+navy Outings panel+2 photos+Wings recap"
example-07,feature-band,9,24,high,dense,yes,yes,no,mixed,"birthday+exec+therapy highlights band"
example-08,editorial-light,6,52,low,dense,no,no,yes,birthday-heavy,"very long birthday list fills full height; exec headshot dropped; sky callout"
example-09,feature-band,8,26,high,dense,yes,no,yes,mixed,"birthday+exec+beats&blooms feature band"
example-10,community-collage,10,14,medium,dense,no,yes,no,mixed-photo,"balanced collage spread"
example-11,dense-lavender-grid,14,21,low,dense,yes,no,yes,photo-led,"many small photos, dense grid, lavender rail"
example-12,photo-mosaic,11,13,low,dense,no,yes,no,photo-led,"mostly-photo page + sky-blue right rail (Campus in Color)"
example-13,dense-lavender-grid,13,17,high,dense,yes,yes,yes,mixed,"dense, spotlight rail, footer"
example-14,editorial-light,4,18,high,light,no,no,no,narrative,"text-forward, few photos, balloon volleyball"
example-15,feature-band,8,22,high,dense,yes,yes,no,mixed,"senior health band + birthday + exec"
example-16,community-collage,11,11,medium,dense,yes,no,yes,mixed-photo,"employee spotlight + collage"
example-17,dense-lavender-grid,12,20,medium,dense,yes,yes,yes,mixed,"summer field trips, dense grid"
example-18,feature-band,8,17,very-high,dense,yes,yes,no,narrative-dense,"highest word volume; live-a-dreams feature"
example-19,photo-mosaic,14,12,medium,dense,no,yes,no,photo-led,"activity photo highlight mosaic, most photos"
example-20,feature-band,6,20,high,dense,yes,no,no,mixed,"activity highlight + birthday + exec"
